IncidentID,County,RdwyNumber,RdwyType,Street,RoadwayName,StreetSfx,StreetDir,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,KABCO,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,Intersection Crash,Bicyclist,Pedestrian,Motor Vehicles
26183578,CAMPBELL,,OTHR,,PAUL,LN,,38.95100364,-84.39374454,0.018,1/9/2020 0:00,835,2,2,0,0,O,CLEAR,DRY,0,REAR END - ONE VEHICLE TURNING LEFT,REAR END,STRAIGHT & GRADE,DAYLIGHT,0,0,0,1
26168201,CAMPBELL,US0027,USRoute,,ALEXANDRIA,PIKE,,38.86816942,-84.39486256,3.674,1/9/2020 0:00,2128,2,2,0,0,O,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,0,0,0,1
26170568,CAMPBELL,KY0008,StateRoute,,FAIRFIELD,AVE,,39.10275562,-84.48754066,1.535,1/9/2020 0:00,1057,2,2,0,0,O,CLEAR,DRY,0,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26168882,CAMPBELL,KY0009,StateRoute,,AA,HWY,,39.02139821,-84.48144853,17.615,1/9/2020 0:00,1428,2,2,0,0,O,CLEAR,DRY,0,OTHER ROADWAY OR MID-BLOCK COLLISION,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26164436,CAMPBELL,I 0471,Interstate,,I471 N,,,39.10045177,-84.49429606,4.904,1/9/2020 0:00,855,3,3,0,0,O,CLEAR,DRY,0,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26183954,CAMPBELL,US0027,USRoute,,ALEXANDRIA,PIKE,,39.01730506,-84.43480784,14.963,1/9/2020 0:00,1323,2,2,0,0,O,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26165897,CAMPBELL,I 0471,Interstate,,I471 N,,,39.10087367,-84.49519061,4.961,1/9/2020 0:00,914,2,2,0,0,O,CLEAR,DRY,0,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,0,0,0,1
26174509,CAMPBELL,KY1998,StateRoute,817,POOLES CREEK,RD,,39.02118272,-84.45049459,1.325,1/10/2020 0:00,1917,2,2,0,2,B,RAINING,WET,0,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,CURVE & GRADE,DARK-HWY NOT LIGHTED,0,0,0,1
26176879,CAMPBELL,KY1892,StateRoute,63,CAROTHERS,RD,,39.08577713,-84.47963844,2.293,1/10/2020 0:00,1730,2,2,0,0,O,RAINING,WET,0,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,CURVE & GRADE,DARK-HWY LIGHTED/ON,0,0,0,1
26171269,CAMPBELL,KY1892,StateRoute,57,CAROTHERS,RD,,39.0850591,-84.48065734,2.369,1/10/2020 0:00,1435,2,2,0,0,O,RAINING,WET,0,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & GRADE,DAYLIGHT,0,0,0,1
